1                2               3               4               5
B              D              E               B              A
6                 7                 8                 9                 10
Cc               B              E              Cc              D
11                 12                13                 14                15
D              E              B               E              E
16                  17                  18                  19                 20
C               A              A              B              Cc
21              22             23             24             25
AC           ACE          DE            AB          BDE
26             27             28             29             30
CE           ABE         ABC          DE          BCD
9
